ticker,exchange,sector
SBUX,NMS,Consumer Cyclical
IBN,NYQ,Financial Services
GSK,NYQ,Healthcare
MO,NYQ,Consumer Defensive
CME,NMS,Financial Services
MCK,NYQ,Healthcare
SPOT,NYQ,Communication Services
BN,NYQ,Financial Services
CEG,NMS,Utilities
ADP,NMS,Technology
ICE,NYQ,Financial Services
PBR,NYQ,Energy
SO,NYQ,Utilities
NOC,NYQ,Industrials
BMO,NYQ,Financial Services
BP,NYQ,Energy
AEM,NYQ,Basic Materials
GD,NYQ,Industrials
ITUB,NYQ,Financial Services
CVS,NYQ,Healthcare
DUK,NYQ,Utilities
TT,NYQ,Industrials
BNS,NYQ,Financial Services
MCO,NYQ,Financial Services
BCS,NYQ,Financial Services
MRSH,NYQ,Financial Services
NKE,NYQ,Consumer Cyclical
PNC,NYQ,Financial Services
UPS,NYQ,Industrials
WM,NYQ,Industrials
HOOD,NMS,Financial Services
SNPS,NMS,Technology
STX,NMS,Technology
RCL,NYQ,Consumer Cyclical
GLW,NYQ,Technology
SHW,NYQ,Basic Materials
DASH,NMS,Consumer Cyclical
LYG,NYQ,Financial Services
USB,NYQ,Financial Services
CVNA,NYQ,Consumer Cyclical
FCX,NYQ,Basic Materials
CM,NYQ,Financial Services
NU,NYQ,Financial Services
MAR,NMS,Consumer Cyclical
SNDK,NMS,Technology
ING,NYQ,Financial Services
WDC,NMS,Technology
NGG,NYQ,Utilities
AMT,NYQ,Real Estate
HWM,NYQ,Industrials
BK,NYQ,Financial Services
ORLY,NMS,Consumer Cyclical
NTES,NMS,Communication Services
EMR,NYQ,Industrials
WMB,NYQ,Energy
CRH,NYQ,Basic Materials
MMM,NYQ,Industrials
CDNS,NMS,Technology
EQIX,NMS,Real Estate
BAM,NYQ,Financial Services
ECL,NYQ,Basic Materials
CMI,NYQ,Industrials
ABNB,NMS,Consumer Cyclical
MNST,NMS,Consumer Defensive
REGN,NMS,Healthcare
GM,NYQ,Consumer Cyclical
B,NYQ,Basic Materials
APO,NYQ,Financial Services
ELV,NYQ,Healthcare
CNQ,NYQ,Energy
CTAS,NMS,Industrials
DELL,NYQ,Technology
ITW,NYQ,Industrials
FDX,NYQ,Industrials
MDLZ,NMS,Consumer Defensive
AON,NYQ,Financial Services
DB,NYQ,Financial Services
CI,NYQ,Healthcare
JCI,NYQ,Industrials
CL,NYQ,Consumer Defensive
NWG,NYQ,Financial Services
SLB,NYQ,Energy
SPG,NYQ,Real Estate
EPD,NYQ,Energy
VRT,NYQ,Industrials
INFY,NYQ,Technology
PWR,NYQ,Industrials
CSX,NMS,Industrials
HLT,NYQ,Consumer Cyclical
COR,NYQ,Healthcare
SE,NYQ,Consumer Cyclical
VALE,NYQ,Basic Materials
WBD,NMS,Communication Services
MRVL,NMS,Technology
KMI,NYQ,Energy
RSG,NYQ,Industrials
MSI,NYQ,Technology
EQNR,NYQ,Energy
RELX,NYQ,Industrials
CP,NYQ,Industrials
SNOW,NYQ,Technology
TFC,NYQ,Financial Services
TEL,NYQ,Technology
NSC,NYQ,Industrials
PCAR,NMS,Industrials
SU,NYQ,Energy
MFC,NYQ,Financial Services
LHX,NYQ,Industrials
AEP,NMS,Utilities
AJG,NYQ,Financial Services
TRV,NYQ,Financial Services
ET,NYQ,Energy
AMX,NYQ,Communication Services
FTNT,NMS,Technology
NET,NYQ,Technology
ROST,NMS,Consumer Cyclical
EOG,NYQ,Energy
TRP,NYQ,Energy
APD,NYQ,Basic Materials
WPM,NYQ,Basic Materials
AFL,NYQ,Financial Services
CNI,NYQ,Industrials
RACE,NYQ,Consumer Cyclical
BDX,NYQ,Healthcare
DLR,NYQ,Real Estate
PSX,NYQ,Energy
NXPI,NMS,Technology
MPLX,NYQ,Energy
SRE,NYQ,Utilities
VLO,NYQ,Energy
O,NYQ,Real Estate
NDAQ,NMS,Financial Services
ZTS,NYQ,Healthcare
F,NYQ,Consumer Cyclical
BKR,NMS,Energy
TAK,NYQ,Healthcare
CCJ,NYQ,Energy
ADSK,NMS,Technology
MPWR,NMS,Technology
VST,NYQ,Utilities
IDXX,NMS,Healthcare
MPC,NYQ,Energy
BIDU,NMS,Communication Services
BSBR,NYQ,Financial Services
COIN,NMS,Financial Services
MET,NYQ,Financial Services
ALL,NYQ,Financial Services
CMG,NYQ,Consumer Cyclical
AME,NYQ,Industrials
DEO,NYQ,Consumer Defensive
D,NYQ,Utilities
CAH,NYQ,Healthcare
EA,NMS,Communication Services
CARR,NYQ,Industrials
FERG,NYQ,Industrials
CBRE,NYQ,Real Estate
RKT,NYQ,Financial Services
PYPL,NMS,Financial Services
TRI,NMS,Industrials
OKE,NYQ,Energy
FAST,NMS,Industrials
URI,NYQ,Industrials
CTVA,NYQ,Basic Materials
ARES,NYQ,Financial Services
AMP,NYQ,Financial Services
FER,NMS,Industrials
CRWV,NMS,Technology
PSA,NYQ,Real Estate
TGT,NYQ,Consumer Defensive
EW,NYQ,Healthcare
FANG,NMS,Energy
ROK,NYQ,Industrials
WDAY,NMS,Technology
AU,NYQ,Basic Materials
HLN,NYQ,Healthcare
LNG,NYQ,Energy
RBLX,NYQ,Communication Services
MSCI,NYQ,Financial Services
FNV,NYQ,Basic Materials
DDOG,NMS,Technology
EXC,NMS,Utilities
GFI,NYQ,Basic Materials
XEL,NMS,Utilities
OXY,NYQ,Energy
ALNY,NMS,Healthcare
DHI,NYQ,Consumer Cyclical
MSTR,NMS,Technology
TRGP,NYQ,Energy
YUM,NYQ,Consumer Cyclical
WCN,NYQ,Industrials
DAL,NYQ,Industrials
ETR,NYQ,Utilities
RKLB,NCM,Industrials
JD,NMS,Consumer Cyclical
CCEP,NMS,Consumer Defensive
EBAY,NMS,Consumer Cyclical
PUK,NYQ,Financial Services
KR,NYQ,Consumer Defensive
EL,NYQ,Consumer Defensive
CCL,NYQ,Consumer Cyclical
AIG,NYQ,Financial Services
ASX,NYQ,Technology
PEG,NYQ,Utilities
MT,NYQ,Basic Materials
MCHP,NMS,Technology
TTWO,NMS,Communication Services
NUE,NYQ,Basic Materials
FIX,NYQ,Industrials
SYY,NYQ,Consumer Defensive
TCOM,NMS,Consumer Cyclical
CTSH,NMS,Technology
ROP,NMS,Technology
ALC,NYQ,Healthcare
VMC,NYQ,Basic Materials
HSY,NYQ,Consumer Defensive
HMC,NYQ,Consumer Cyclical
CUK,NYQ,Consumer Cyclical
WAB,NYQ,Industrials
CPRT,NMS,Industrials
IQV,NYQ,Healthcare
PRU,NYQ,Financial Services
TEVA,NYQ,Healthcare
GRMN,NYQ,Technology
KGC,NYQ,Basic Materials
ED,NYQ,Utilities
AXON,NMS,Industrials
TER,NMS,Technology
A,NYQ,Healthcare
CCI,NYQ,Real Estate
RMD,NYQ,Healthcare
HIG,NYQ,Financial Services
KDP,NMS,Consumer Defensive
CVE,NYQ,Energy
KEYS,NYQ,Technology
PAYX,NMS,Technology
RYAAY,NMS,Industrials
XYZ,NYQ,Technology
CPNG,NYQ,Consumer Cyclical
ERIC,NMS,Technology
MDLN,NMS,Healthcare
STT,NYQ,Financial Services
VTR,NYQ,Real Estate
ODFL,NMS,Industrials
LVS,NYQ,Consumer Cyclical
NOK,NYQ,Technology
GEHC,NMS,Healthcare
EQT,NYQ,Energy
WEC,NYQ,Utilities
ACGL,NMS,Financial Services
BE,NYQ,Industrials
CIEN,NYQ,Technology
FISV,NMS,Unknown
MTB,NYQ,Financial Services
WDS,NYQ,Energy
VOD,NMS,Communication Services
IR,NYQ,Industrials
RDDT,NYQ,Communication Services
PCG,NYQ,Utilities
LYV,NYQ,Communication Services
XYL,NYQ,Industrials
NTR,NYQ,Basic Materials
OTIS,NYQ,Industrials
VEEV,NYQ,Healthcare
INSM,NMS,Healthcare
COHR,NYQ,Technology
KVUE,NYQ,Consumer Defensive
FITB,NMS,Financial Services
KMB,NMS,Consumer Defensive
UAL,NMS,Industrials
EXPE,NMS,Consumer Cyclical
RJF,NYQ,Financial Services
SATS,NMS,Communication Services
CLS,NYQ,Technology
ADM,NYQ,Consumer Defensive
FOXA,NMS,Communication Services
NTRA,NMS,Healthcare
SYM,NGM,Industrials
VIK,NYQ,Consumer Cyclical
ZS,NMS,Technology
DG,NYQ,Consumer Defensive
TEAM,NMS,Technology
WTW,NMS,Financial Services
FOX,NMS,Communication Services
QSR,NYQ,Consumer Cyclical
EXR,NYQ,Real Estate
ROL,NYQ,Consumer Cyclical
VRSK,NMS,Industrials
MDB,NGM,Technology
VICI,NYQ,Real Estate
NRG,NYQ,Utilities
LPLA,NMS,Financial Services
AMRZ,NYQ,Basic Materials
ULTA,NMS,Consumer Cyclical
FLUT,NYQ,Consumer Cyclical
FIS,NYQ,Technology
SOFI,NMS,Financial Services
HPE,NYQ,Technology
DXCM,NMS,Healthcare
HAL,NYQ,Energy
BNTX,NMS,Healthcare
STLA,NYQ,Consumer Cyclical
TME,NYQ,Communication Services
NTRS,NMS,Financial Services
KHC,NMS,Consumer Defensive
AEE,NYQ,Utilities
FTAI,NMS,Industrials
DTE,NYQ,Utilities
LITE,NMS,Technology
CBOE,BTS,Financial Services
DOV,NYQ,Industrials
ZM,NMS,Technology
HBAN,NMS,Financial Services
FE,NYQ,Utilities
PHG,NYQ,Healthcare
STZ,NYQ,Consumer Defensive
IRM,NYQ,Real Estate
CFG,NYQ,Financial Services
LEN,NYQ,Consumer Cyclical
EC,NYQ,Energy
FTS,NYQ,Utilities
ATO,NYQ,Utilities
TSCO,NMS,Consumer Cyclical
PPL,NYQ,Utilities
EXE,NMS,Energy
CHTR,NMS,Communication Services
STLD,NMS,Basic Materials
BIIB,NMS,Healthcare
TECK,NYQ,Basic Materials
TPR,NYQ,Consumer Cyclical
SYF,NYQ,Financial Services
PPG,NYQ,Basic Materials
CSGP,NMS,Real Estate
WRB,NYQ,Financial Services
NMR,NYQ,Financial Services
KEP,NYQ,Utilities
ES,NYQ,Utilities
CNP,NYQ,Utilities
STE,NYQ,Healthcare
UMC,NYQ,Technology
AER,NYQ,Industrials
DVN,NYQ,Energy
ALAB,NMS,Technology
JBL,NYQ,Technology
AVB,NYQ,Real Estate
AWK,NYQ,Utilities
STM,NYQ,Technology
CINF,NMS,Financial Services
RF,NYQ,Financial Services
LUV,NYQ,Industrials
EFX,NYQ,Industrials
GIS,NYQ,Consumer Defensive
PHM,NYQ,Consumer Cyclical
BRO,NYQ,Financial Services
VLTO,NYQ,Industrials
EQR,NYQ,Real Estate
ON,NMS,Technology
OMC,NYQ,Communication Services
WSM,NYQ,Consumer Cyclical
RPRX,NMS,Healthcare
FSLR,NMS,Technology
LDOS,NYQ,Technology
PBA,NYQ,Energy
BCE,NYQ,Communication Services
VG,NYQ,Energy
DLTR,NMS,Consumer Defensive
EIX,NYQ,Utilities
KEY,NYQ,Financial Services
FLEX,NMS,Technology
HUM,NYQ,Healthcare
GFS,NMS,Technology
CHD,NYQ,Consumer Defensive
TROW,NMS,Financial Services
AXIA,NYQ,Utilities
DRI,NYQ,Consumer Cyclical
TSN,NYQ,Consumer Defensive
PAAS,NYQ,Basic Materials
CHRW,NMS,Industrials
BR,NYQ,Technology
PSTG,NYQ,Technology
FTI,NYQ,Energy
VRSN,NMS,Technology
VIV,NYQ,Communication Services
FUTU,NGM,Financial Services
CRDO,NMS,Technology
TPG,NMS,Financial Services
LH,NYQ,Healthcare
TW,NMS,Financial Services
TS,NYQ,Energy
ILMN,NMS,Healthcare
RGLD,NMS,Basic Materials
CPAY,NYQ,Technology
WAT,NYQ,Healthcare
BG,NYQ,Consumer Defensive
CTRA,NYQ,Energy
SQM,NYQ,Basic Materials
L,NYQ,Financial Services
EXPD,NYQ,Industrials
FWONK,NMS,Communication Services
CMS,NYQ,Utilities
CYBR,NMS,Technology
SW,NYQ,Consumer Cyclical
TU,NYQ,Communication Services
NBIS,NMS,Communication Services
RL,NYQ,Consumer Cyclical
OWL,NYQ,Financial Services
CNC,NYQ,Healthcare
IP,NYQ,Consumer Cyclical
CG,NMS,Financial Services
BEKE,NYQ,Real Estate
RBA,NYQ,Industrials
PFG,NMS,Financial Services
NI,NYQ,Utilities
DGX,NYQ,Healthcare
LULU,NMS,Consumer Cyclical
RCI,NYQ,Communication Services
AMCR,NYQ,Consumer Cyclical
AS,NYQ,Consumer Cyclical
GMAB,NMS,Healthcare
Q,NYQ,Technology
LTM,NYQ,Industrials
GPN,NYQ,Industrials
ALB,NYQ,Basic Materials
PKG,NYQ,Consumer Cyclical
SSNC,NMS,Technology
AFRM,NMS,Financial Services
DOW,NYQ,Basic Materials
INCY,NMS,Healthcare
SBAC,NMS,Real Estate
EXAS,NCM,Healthcare
GPC,NYQ,Consumer Cyclical
JBHT,NMS,Industrials
CHKP,NMS,Technology
BEP,NYQ,Utilities
NTAP,NMS,Technology
WWD,NMS,Industrials
MTZ,NYQ,Industrials
SBS,NYQ,Utilities
USFD,NYQ,Consumer Defensive
BWXT,NYQ,Industrials
RVMD,NMS,Healthcare
PTC,NMS,Technology
BURL,NYQ,Consumer Cyclical
WY,NYQ,Real Estate
TWLO,NYQ,Technology
SGI,NYQ,Consumer Cyclical
DD,NYQ,Basic Materials
TOST,NYQ,Technology
DKS,NYQ,Consumer Cyclical
HPQ,NYQ,Technology
NVT,NYQ,Industrials
CX,NYQ,Basic Materials
RIVN,NMS,Consumer Cyclical
PODD,NMS,Healthcare
APG,NYQ,Industrials
ENTG,NMS,Technology
IFF,NYQ,Basic Materials
FTV,NYQ,Technology
NXT,NMS,Technology
DECK,NYQ,Consumer Cyclical
EVRG,NMS,Utilities
IREN,NMS,Financial Services
FN,NYQ,Technology
YUMC,NYQ,Consumer Cyclical
JBS,NYQ,Consumer Defensive
XPO,NYQ,Industrials
ESS,NYQ,Real Estate
KTOS,NMS,Industrials
SMCI,NMS,Technology
NWS,NMS,Communication Services
PNR,NYQ,Industrials
ZTO,NYQ,Industrials
ZBH,NYQ,Healthcare
MRNA,NMS,Healthcare
XPEV,NYQ,Consumer Cyclical
LNT,NMS,Utilities
YPF,NYQ,Energy
WES,NYQ,Energy
LI,NMS,Consumer Cyclical
BIP,NYQ,Utilities
HOLX,NMS,Healthcare
THC,NYQ,Healthcare
SN,NYQ,Consumer Cyclical
TKO,NYQ,Communication Services
WST,NYQ,Healthcare
MKC,NYQ,Consumer Defensive
ATI,NYQ,Industrials
CDW,NMS,Technology
HII,NYQ,Industrials
APTV,NYQ,Consumer Cyclical
MTSI,NMS,Technology
SUI,NYQ,Real Estate
INVH,NYQ,Real Estate
NLY,NYQ,Real Estate
CRCL,NYQ,Financial Services
IOT,NYQ,Technology
COO,NMS,Healthcare
MAA,NYQ,Real Estate
TRMB,NMS,Technology
J,NYQ,Industrials
FFIV,NMS,Technology
RTO,NYQ,Industrials
TLN,NMS,Utilities
IT,NYQ,Technology
CRS,NYQ,Industrials
MKSI,NMS,Technology
LYB,NYQ,Basic Materials
EWBC,NMS,Financial Services
NWSA,NMS,Communication Services
TXT,NYQ,Industrials
ITT,NYQ,Industrials
QXO,NYQ,Industrials
WMG,NMS,Communication Services
ZG,NMS,Communication Services
CRBG,NYQ,Financial Services
AGI,NYQ,Basic Materials
BALL,NYQ,Consumer Cyclical
GFL,NYQ,Industrials
TRU,NYQ,Financial Services
WPC,NYQ,Real Estate
Z,NMS,Communication Services
TSEM,NMS,Technology
MLI,NYQ,Industrials
VTRS,NMS,Healthcare
CF,NYQ,Basic Materials
HL,NYQ,Basic Materials
PINS,NYQ,Communication Services
ROIV,NMS,Healthcare
OKTA,NMS,Technology
PFGC,NYQ,Consumer Defensive
IEX,NYQ,Industrials
ONON,NYQ,Consumer Cyclical
H,NYQ,Consumer Cyclical
TTD,NGM,Communication Services
GH,NMS,Healthcare
BBIO,NMS,Healthcare
GEN,NMS,Technology
FNF,NYQ,Financial Services
HUBS,NYQ,Technology
SNN,NYQ,Healthcare
AA,NYQ,Basic Materials
HTHT,NMS,Consumer Cyclical
GGG,NYQ,Industrials
MGA,NYQ,Consumer Cyclical
AVY,NYQ,Consumer Cyclical
PNFP,NYQ,Financial Services
KIM,NYQ,Real Estate
ARCC,NMS,Financial Services
ALLE,NYQ,Industrials
IONQ,NYQ,Technology
ULS,NYQ,Industrials
ROKU,NMS,Communication Services
PEN,NYQ,Healthcare
ICLR,NMS,Healthcare
UDR,NYQ,Real Estate
AKAM,NMS,Technology
DPZ,NMS,Consumer Cyclical
GDDY,NYQ,Technology
AVAV,NMS,Industrials
EQH,NYQ,Financial Services
BILI,NMS,Communication Services
BEN,NYQ,Financial Services
MAS,NYQ,Industrials
ASND,NMS,Healthcare
VNOM,NMS,Energy
CLX,NYQ,Consumer Defensive
KRMN,NYQ,Industrials
TOL,NYQ,Consumer Cyclical
DKNG,NMS,Consumer Cyclical
BBY,NYQ,Consumer Cyclical
PAA,NMS,Energy
HRL,NYQ,Consumer Defensive
CELH,NCM,Consumer Defensive
W,NYQ,Consumer Cyclical
CNH,NYQ,Industrials
REG,NMS,Real Estate
IONS,NMS,Healthcare
SOLV,NYQ,Healthcare
JHX,NYQ,Basic Materials
HMY,NYQ,Basic Materials
OHI,NYQ,Real Estate
EMBJ,NYQ,Industrials
FMS,NYQ,Healthcare
AMH,NYQ,Real Estate
CDE,NYQ,Basic Materials
ALLY,NYQ,Financial Services
JKHY,NMS,Technology
UNM,NYQ,Financial Services
SNX,NYQ,Technology
HST,NMS,Real Estate
FIG,NYQ,Technology
DTM,NYQ,Energy
UHS,NYQ,Healthcare
RYAN,NYQ,Financial Services
ACM,NYQ,Industrials
GLPI,NMS,Real Estate
LOGI,NMS,Technology
ELS,NYQ,Real Estate
BLDR,NYQ,Industrials
RVTY,NYQ,Healthcare
AGNC,NMS,Real Estate
JEF,NYQ,Financial Services
SF,NYQ,Financial Services
HAS,NMS,Consumer Cyclical
U,NYQ,Technology
OKLO,NYQ,Utilities
PSKY,NMS,Communication Services
RMBS,NMS,Technology
GMED,NYQ,Healthcare
SWK,NYQ,Industrials
CCK,NYQ,Consumer Cyclical
BJ,NYQ,Consumer Defensive
FIGR,NMS,Financial Services
IVZ,NYQ,Financial Services
SBSW,NYQ,Basic Materials
CHWY,NYQ,Consumer Cyclical
FHN,NYQ,Financial Services
GIL,NYQ,Consumer Cyclical
PR,NYQ,Energy
DOC,NYQ,Real Estate
GWRE,NYQ,Technology
ELAN,NYQ,Healthcare
TXRH,NMS,Consumer Cyclical
ZBRA,NMS,Technology
AMKR,NMS,Technology
NYT,NYQ,Communication Services
SNAP,NYQ,Communication Services
AEG,NYQ,Financial Services
WMS,NYQ,Industrials
ALGN,NMS,Healthcare
DCI,NYQ,Industrials
CPT,NYQ,Real Estate
EPAM,NYQ,Technology
SUZ,NYQ,Basic Materials
DT,NYQ,Technology
BXP,NYQ,Real Estate
GLXY,NMS,Financial Services
GL,NYQ,Financial Services
CMA,NYQ,Financial Services
SCI,NYQ,Consumer Cyclical
RDY,NYQ,Healthcare
AR,NYQ,Energy
PNW,NYQ,Utilities
RBRK,NYQ,Technology
SJM,NYQ,Consumer Defensive
WYNN,NMS,Consumer Cyclical
EXEL,NMS,Healthcare
DAY,NYQ,Technology
QGEN,NYQ,Healthcare
LSCC,NMS,Technology
OVV,NYQ,Energy
MICC,NYQ,Consumer Defensive
STRL,NMS,Industrials
WTRG,NYQ,Utilities
RNA,NGM,Healthcare
DRS,NMS,Industrials
BMRN,NMS,Healthcare
CFLT,NMS,Technology
SUN,NYQ,Energy
SKM,NYQ,Communication Services
IAG,NYQ,Basic Materials
SMMT,NGM,Healthcare
SEIC,NMS,Financial Services
RRX,NYQ,Industrials
GME,NYQ,Consumer Cyclical
BSY,NMS,Technology
BAH,NYQ,Industrials
TEM,NMS,Healthcare
NTNX,NMS,Technology
WBS,NYQ,Financial Services
FIVE,NMS,Consumer Cyclical
CNM,NYQ,Industrials
DOCU,NMS,Technology
AES,NYQ,Utilities
MP,NYQ,Basic Materials
GAP,NYQ,Consumer Cyclical
SPXC,NYQ,Industrials
CRL,NYQ,Healthcare
YMM,NYQ,Technology
BAX,NYQ,Healthcare
CAE,NYQ,Industrials
PPC,NMS,Consumer Defensive
AOS,NYQ,Industrials
SSB,NYQ,Financial Services
SARO,NYQ,Industrials
BWA,NYQ,Consumer Cyclical
FLS,NYQ,Industrials
AG,NYQ,Basic Materials
TIGO,NMS,Communication Services
WLK,NYQ,Basic Materials
TTMI,NMS,Technology
XP,NMS,Financial Services
ARMK,NYQ,Industrials
KT,NYQ,Communication Services
EDU,NYQ,Consumer Defensive
ONTO,NYQ,Technology
OC,NYQ,Industrials
NCLH,NYQ,Consumer Cyclical
JAZZ,NMS,Healthcare
TECH,NMS,Healthcare
REXR,NYQ,Real Estate
GNRC,NYQ,Industrials
TTEK,NMS,Industrials
WAL,NYQ,Financial Services
CART,NMS,Consumer Cyclical
MOH,NYQ,Healthcare
DINO,NYQ,Energy
MOD,NYQ,Consumer Cyclical
ARWR,NMS,Healthcare
ORI,NYQ,Financial Services
AEIS,NMS,Industrials
JOBY,NYQ,Industrials
ONB,NMS,Financial Services
CHYM,NMS,Technology
EHC,NYQ,Healthcare
FDS,NYQ,Financial Services
TAP,NYQ,Consumer Defensive
POOL,NMS,Industrials
APLD,NMS,Technology
ARE,NYQ,Real Estate
APA,NMS,Energy
SFD,NMS,Consumer Defensive
HBM,NYQ,Basic Materials
GTLS,NYQ,Industrials
AXSM,NGM,Healthcare
OSK,NYQ,Industrials
MGM,NYQ,Consumer Cyclical
HSIC,NMS,Healthcare
ACI,NYQ,Consumer Defensive
MANH,NMS,Technology
ALSN,NYQ,Consumer Cyclical
LUMN,NYQ,Communication Services
RRC,NYQ,Energy
DOX,NMS,Technology
OGE,NYQ,Utilities
AM,NYQ,Energy
GGAL,NCM,Financial Services
TTC,NYQ,Industrials
GDS,NGM,Technology
BROS,NYQ,Consumer Cyclical
KNX,NYQ,Industrials
LINE,NMS,Real Estate
BPOP,NMS,Financial Services
CAG,NYQ,Consumer Defensive
VIRT,NYQ,Financial Services
ZION,NMS,Financial Services
SAIL,NMS,Technology
COLB,NMS,Financial Services
STEP,NMS,Financial Services
PCOR,NYQ,Technology
AAL,NMS,Industrials
FRT,NYQ,Real Estate
BZ,NMS,Communication Services
AHR,NYQ,Real Estate
MOS,NYQ,Basic Materials
AMTM,NYQ,Industrials
ABVX,NGM,Healthcare
PRAX,NMS,Healthcare
KLAR,NYQ,Technology
BVN,NYQ,Basic Materials
EGO,NYQ,Basic Materials
UGI,NYQ,Utilities
CUBE,NYQ,Real Estate
CMC,NYQ,Basic Materials
AGCO,NYQ,Industrials
LKQ,NMS,Consumer Cyclical
VIPS,NYQ,Consumer Cyclical
HALO,NMS,Healthcare
RGEN,NMS,Healthcare
PL,NYQ,Industrials
SWKS,NMS,Technology
PSO,NYQ,Communication Services
CPB,NMS,Consumer Defensive
CTRE,NYQ,Real Estate
UEC,ASE,Energy
ADC,NYQ,Real Estate
JXN,NYQ,Financial Services
ATR,NYQ,Healthcare
NXE,NYQ,Energy
BRX,NYQ,Real Estate
AXS,NYQ,Financial Services
PRIM,NYQ,Industrials
NUVL,NMS,Healthcare
NFG,NYQ,Energy
HLNE,NMS,Financial Services
FR,NYQ,Real Estate
NNN,NYQ,Real Estate
EMN,NYQ,Basic Materials
QBTS,NYQ,Technology
LNC,NYQ,Financial Services
CADE,NYQ,Financial Services
CLF,NYQ,Basic Materials
DVA,NYQ,Healthcare
GSAT,NMS,Communication Services
EQPT,NMS,Industrials
OMF,NYQ,Financial Services
LEVI,NYQ,Consumer Cyclical
CBSH,NMS,Financial Services
SANM,NMS,Technology
TAL,NYQ,Consumer Defensive
CYTK,NMS,Healthcare
ZWS,NYQ,Industrials
G,NYQ,Technology
PLNT,NYQ,Consumer Cyclical
VFC,NYQ,Consumer Cyclical
GRFS,NMS,Healthcare
PDI,NYQ,Financial Services
