ticker,exchange,sector
NVDA,NMS,Technology
GOOGL,NMS,Communication Services
GOOG,NMS,Communication Services
AAPL,NMS,Technology
MSFT,NMS,Technology
AMZN,NMS,Consumer Cyclical
META,NMS,Communication Services
TSM,NYQ,Technology
TSLA,NMS,Consumer Cyclical
AVGO,NMS,Technology
WMT,NMS,Consumer Defensive
LLY,NYQ,Healthcare
JPM,NYQ,Financial Services
V,NYQ,Financial Services
XOM,NYQ,Energy
ASML,NMS,Technology
JNJ,NYQ,Healthcare
MA,NYQ,Financial Services
ORCL,NYQ,Technology
MU,NMS,Technology
COST,NMS,Consumer Defensive
BABA,NYQ,Consumer Cyclical
ABBV,NYQ,Healthcare
BAC,NYQ,Financial Services
AMD,NMS,Technology
HD,NYQ,Consumer Cyclical
PG,NYQ,Consumer Defensive
NFLX,NMS,Communication Services
CVX,NYQ,Energy
PLTR,NMS,Technology
GE,NYQ,Industrials
KO,NYQ,Consumer Defensive
CSCO,NMS,Technology
CAT,NYQ,Industrials
HSBC,NYQ,Financial Services
LRCX,NMS,Technology
MS,NYQ,Financial Services
AZN,NMS,Healthcare
IBM,NYQ,Technology
NVS,NYQ,Healthcare
WFC,NYQ,Financial Services
GS,NYQ,Financial Services
PM,NYQ,Consumer Defensive
MRK,NYQ,Healthcare
RTX,NYQ,Industrials
NVO,NYQ,Healthcare
UNH,NYQ,Healthcare
AMAT,NMS,Technology
AXP,NYQ,Financial Services
SAP,NYQ,Technology
RY,NYQ,Financial Services
INTC,NMS,Technology
MCD,NYQ,Consumer Cyclical
TMUS,NMS,Communication Services
SHEL,NYQ,Energy
TMO,NYQ,Healthcare
LIN,NMS,Basic Materials
PEP,NMS,Consumer Defensive
C,NYQ,Financial Services
MUFG,NYQ,Financial Services
CRM,NYQ,Technology
DIS,NYQ,Communication Services
GEV,NYQ,Industrials
TXN,NMS,Technology
ABT,NYQ,Healthcare
SCHW,NYQ,Financial Services
SAN,NYQ,Financial Services
KLAC,NMS,Technology
VZ,NYQ,Communication Services
T,NYQ,Communication Services
AMGN,NMS,Healthcare
NEE,NYQ,Utilities
BA,NYQ,Industrials
RIO,NYQ,Basic Materials
ISRG,NMS,Healthcare
BX,NYQ,Financial Services
ANET,NYQ,Technology
BHP,NYQ,Basic Materials
APH,NYQ,Technology
GILD,NMS,Healthcare
BLK,NYQ,Financial Services
SHOP,NMS,Technology
UBER,NYQ,Technology
TJX,NYQ,Consumer Cyclical
HDB,NYQ,Financial Services
ACN,NYQ,Technology
QCOM,NMS,Technology
SPGI,NYQ,Financial Services
APP,NMS,Communication Services
TD,NYQ,Financial Services
SCCO,NYQ,Basic Materials
TTE,NYQ,Energy
DHR,NYQ,Healthcare
HON,NMS,Industrials
ADI,NMS,Technology
PFE,NYQ,Healthcare
LOW,NYQ,Consumer Cyclical
UL,NYQ,Consumer Defensive
UBS,NYQ,Financial Services
LMT,NYQ,Industrials
BBVA,NYQ,Financial Services
PDD,NMS,Consumer Cyclical
DE,NYQ,Industrials
SYK,NYQ,Healthcare
UNP,NYQ,Industrials
BUD,NYQ,Consumer Defensive
COF,NYQ,Financial Services
INTU,NMS,Technology
BSX,NYQ,Healthcare
ETN,NYQ,Industrials
SMFG,NYQ,Financial Services
SONY,NYQ,Technology
MDT,NYQ,Healthcare
BTI,NYQ,Consumer Defensive
COP,NYQ,Energy
WELL,NYQ,Real Estate
IBKR,NMS,Financial Services
NOW,NYQ,Technology
CB,NYQ,Financial Services
NEM,NYQ,Basic Materials
PANW,NMS,Technology
ADBE,NMS,Technology
PGR,NYQ,Financial Services
PLD,NYQ,Real Estate
VRTX,NMS,Healthcare
PH,NYQ,Industrials
CMCSA,NMS,Communication Services
SNY,NMS,Healthcare
HCA,NYQ,Healthcare
BMY,NYQ,Healthcare
ARM,NMS,Technology
CRWD,NMS,Technology
MELI,NMS,Consumer Cyclical
MFG,NYQ,Financial Services
ENB,NYQ,Energy
KKR,NYQ,Financial Services
